,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_filter__n,param_variant__alpha,param_variant__hidden_layer_sizes,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
176,0.77359995842,0.145199966431,0.6945,0.759064190216,150,0.01,"(25,)","{'variant__hidden_layer_sizes': (25,), 'variant__alpha': 0.01, 'filter__n': 150}",14,0.689138576779,0.783057205377,0.6875,0.72125,0.7175,0.7484375,0.7025,0.7865625,0.675844806008,0.756013745704,0.0848519087164,0.00172045122082,0.0142713841837,0.0240165216292
177,0.81779999733,0.147000074387,0.6955,0.743126161804,150,0.01,"(25, 25)","{'variant__hidden_layer_sizes': (25, 25), 'variant__alpha': 0.01, 'filter__n': 150}",10,0.685393258427,0.751484839012,0.6825,0.75375,0.71625,0.7525,0.7075,0.725,0.685857321652,0.732895970009,0.0446828792445,0.00260763824654,0.0137018351119,0.0118643738234
178,0.910400009155,0.146199989319,0.6875,0.756879522559,150,0.01,"(100, 25, 100)","{'variant__hidden_layer_sizes': (100, 25, 100), 'variant__alpha': 0.01, 'filter__n': 150}",72,0.680399500624,0.813691778681,0.65375,0.699375,0.71,0.77625,0.7125,0.75375,0.68085106383,0.741330834114,0.0685554337745,0.0011661712799,0.0217483135185,0.0378448770126
179,0.8742000103,0.147599983215,0.68775,0.751245694763,150,0.01,"(21, 21, 21, 21)","{'variant__hidden_layer_sizes': (21, 21, 21, 21), 'variant__alpha': 0.01, 'filter__n': 150}",67,0.695380774032,0.751484839012,0.69625,0.7225,0.695,0.7234375,0.66625,0.7384375,0.685857321652,0.820368634802,0.113238490528,0.00174355901316,0.0113924690192,0.0361709788256
180,0.858799982071,0.148200035095,0.685,0.747558428064,150,0.001,"(50, 50)","{'variant__hidden_layer_sizes': (50, 50), 'variant__alpha': 0.001, 'filter__n': 150}",109,0.676654182272,0.725851828696,0.6775,0.7146875,0.6925,0.71625,0.6875,0.79,0.690863579474,0.791002811621,0.0617102519294,0.00271294276623,0.0066757520428,0.0352720669278
181,0.75700006485,0.145599985123,0.69125,0.724311044018,150,0.001,"(50,)","{'variant__hidden_layer_sizes': (50,), 'variant__alpha': 0.001, 'filter__n': 150}",40,0.676654182272,0.715223507346,0.68125,0.743125,0.69375,0.708125,0.71,0.7165625,0.694618272841,0.738519212746,0.038220375447,0.00185475381116,0.011682874414,0.0138596412393
182,0.793600034714,0.145800018311,0.69625,0.74693918935,150,0.001,"(25,)","{'variant__hidden_layer_sizes': (25,), 'variant__alpha': 0.001, 'filter__n': 150}",8,0.694132334582,0.760862769616,0.6875,0.7225,0.7125,0.7540625,0.7025,0.7634375,0.684605757196,0.733833177132,0.0364559271853,0.00263817795291,0.0101940817874,0.0160364798423
183,0.807599973679,0.148000001907,0.6885,0.723187411987,150,0.001,"(25, 25)","{'variant__hidden_layer_sizes': (25, 25), 'variant__alpha': 0.001, 'filter__n': 150}",61,0.679151061174,0.746170678337,0.68875,0.73125,0.6975,0.6890625,0.69875,0.701875,0.678347934919,0.7475788816,0.0681545599193,0.00154920417539,0.0086783927704,0.0236934934962
184,0.962200021744,0.14859995842,0.684,0.757751357727,150,0.001,"(100, 25, 100)","{'variant__hidden_layer_sizes': (100, 25, 100), 'variant__alpha': 0.001, 'filter__n': 150}",117,0.69038701623,0.768677711785,0.65375,0.699375,0.70125,0.7834375,0.69625,0.7903125,0.678347934919,0.746954076851,0.0726703067237,0.00101987026279,0.0169436618012,0.0327529281738
185,0.901399993896,0.146800041199,0.69375,0.734560107751,150,0.001,"(21, 21, 21, 21)","{'variant__hidden_layer_sizes': (21, 21, 21, 21), 'variant__alpha': 0.001, 'filter__n': 150}",19,0.692883895131,0.739293529228,0.69125,0.718125,0.7075,0.7309375,0.705,0.706875,0.672090112641,0.777569509528,0.0283732156228,0.000979812483548,0.0125792714998,0.0241740156573
186,1.04179997444,0.130800008774,0.68675,0.748995928125,150,0.0001,"(50, 50)","{'variant__hidden_layer_sizes': (50, 50), 'variant__alpha': 0.0001, 'filter__n': 150}",82,0.671660424469,0.72741481713,0.67,0.7178125,0.69875,0.715625,0.70375,0.7915625,0.689612015019,0.792564823493,0.0731174596296,0.0199739911491,0.0137820412121,0.0353890691318
187,0.896000003815,0.138599967957,0.6945,0.728061122034,150,0.0001,"(50,)","{'variant__hidden_layer_sizes': (50,), 'variant__alpha': 0.0001, 'filter__n': 150}",14,0.676654182272,0.713035323539,0.68625,0.7428125,0.71625,0.7340625,0.70875,0.7153125,0.684605757196,0.735082786629,0.0485014946071,0.0209437028807,0.0152370106812,0.0117577671967
188,0.922000026703,0.14219994545,0.7005,0.746749716956,150,0.0001,"(25,)","{'variant__hidden_layer_sizes': (25,), 'variant__alpha': 0.0001, 'filter__n': 150}",2,0.694132334582,0.751797436699,0.68625,0.721875,0.73,0.7534375,0.715,0.7503125,0.677096370463,0.756326148079,0.0439408597918,0.0181482765074,0.0193453124037,0.0125964988497
189,0.937800073624,0.152799892426,0.6905,0.731002021485,150,0.0001,"(25, 25)","{'variant__hidden_layer_sizes': (25, 25), 'variant__alpha': 0.0001, 'filter__n': 150}",49,0.684144818976,0.766176930291,0.69,0.735625,0.69625,0.6915625,0.70375,0.7278125,0.678347934919,0.733833177132,0.0080349728424,0.00132669753415,0.00890844437751,0.0238004642157
190,0.97780008316,0.149799966812,0.6895,0.733815322895,150,0.0001,"(100, 25, 100)","{'variant__hidden_layer_sizes': (100, 25, 100), 'variant__alpha': 0.0001, 'filter__n': 150}",55,0.681647940075,0.788683963739,0.65125,0.6934375,0.7225,0.7346875,0.70875,0.70875,0.683354192741,0.743517650734,0.12830499091,0.00097979302062,0.024584876029,0.0327539389998
191,0.904599952698,0.147200059891,0.68675,0.74930971748,150,0.0001,"(21, 21, 21, 21)","{'variant__hidden_layer_sizes': (21, 21, 21, 21), 'variant__alpha': 0.0001, 'filter__n': 150}",82,0.692883895131,0.745232885277,0.68,0.7359375,0.70625,0.725,0.675,0.750625,0.679599499374,0.789753202124,0.0649417827363,0.000399971008301,0.0114246439546,0.0220172865875
