,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_filter__n,param_variant__alpha,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,1.01060004234,0.135999965668,-0.00919256247353,0.00828366786605,1,0.1,"{'variant__alpha': 0.1, 'filter__n': 1}",1,0.00965003481819,0.00683112738908,0.016191449847,0.000901730937761,-0.00142759115704,0.00788775948484,-0.0463478592979,0.0142677178683,-0.0240881000285,0.0115300036502,0.0503689940871,0.0193079882838,0.0230717230851,0.0045410827024
1,0.963799953461,0.148000001907,-0.00923268604543,0.00828374084683,1,0.01,"{'variant__alpha': 0.01, 'filter__n': 1}",2,0.00965683887675,0.00683119594859,0.0162367037247,0.000901740344558,-0.00142214421339,0.0078878214047,-0.0465455422304,0.0142678575139,-0.0241486874066,0.0115300890224,0.0233357829694,0.00438175669369,0.0231546149104,0.00454112318847
2,0.951799964905,0.139800024033,-0.00923671822095,0.00828374158064,1,0.001,"{'variant__alpha': 0.001, 'filter__n': 1}",3,0.00965751478917,0.00683119663816,0.0162412426653,0.000901740439183,-0.00142160089478,0.00788782202708,-0.0465653952531,0.0142678589184,-0.0241547682384,0.0115300898804,0.0260338406457,0.0146341937209,0.0231629375403,0.00454112359556
3,0.980999946594,0.128400039673,-0.00923712163753,0.00828374158798,1,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 1}",4,0.00965758233513,0.00683119664506,0.0162416966953,0.000901740440129,-0.0014215465768,0.0078878220333,-0.0465673814061,0.0142678589325,-0.0241553765433,0.0115300898889,0.0290171790052,0.0201652351965,0.0231637701391,0.00454112359963
4,1.0765999794,0.127400016785,-0.026400276127,0.0310998425902,10,0.1,"{'variant__alpha': 0.1, 'filter__n': 10}",5,0.00882299635286,0.0230127977595,0.00989711113669,0.0234916615644,-0.0275656737826,0.0425335281177,-0.0357481979518,0.0243725970603,-0.087518381398,0.042088628449,0.0965309925898,0.0203823077095,0.0357273882518,0.00916540369464
5,0.96879992485,0.123200035095,-0.0265931666879,0.0311009022606,10,0.01,"{'variant__alpha': 0.01, 'filter__n': 10}",6,0.00873578568509,0.0230139714168,0.00989139158135,0.0234924473283,-0.0276252728018,0.042534475159,-0.0359394627473,0.0243735751669,-0.0881393724914,0.0420900422318,0.030055919421,0.022319519987,0.0359318151892,0.00916549784011
6,0.94420003891,0.142799949646,-0.0266126827275,0.0311009130162,10,0.001,"{'variant__alpha': 0.001, 'filter__n': 10}",7,0.00872683863392,0.0230139833675,0.00989079773885,0.023492455281,-0.0276312737621,0.0425344847427,-0.0359588834128,0.0243735851288,-0.0882020234059,0.0420900565609,0.0440789956137,0.0144830322385,0.0359524250375,0.00916549877559
7,0.965999984741,0.140399980545,-0.0266146366302,0.0311009131239,10,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 10}",8,0.00872594163239,0.0230139834873,0.00989073813411,0.0234924553606,-0.0276318742723,0.0425344848387,-0.0359608284733,0.0243735852286,-0.088208294066,0.0420900567044,0.0319875016363,0.0178280508633,0.0359544877084,0.00916549878494
8,0.966200017929,0.123399972916,-0.038576715149,0.0567525801205,30,0.1,"{'variant__alpha': 0.1, 'filter__n': 30}",9,-0.0122678271364,0.05190745562,0.00641420575996,0.0383877918245,-0.0601184139645,0.0738035999608,-0.0638199908362,0.0590192723261,-0.0631742819201,0.0606447808709,0.0172441797982,0.0225795845625,0.0297390115352,0.0115910748286
9,0.961199951172,0.149400043488,-0.0388618153676,0.056753565459,30,0.01,"{'variant__alpha': 0.01, 'filter__n': 30}",10,-0.0124679201004,0.0519084493993,0.00627403043216,0.0383885812947,-0.0603184604854,0.0738045932277,-0.0640888145259,0.0590200945801,-0.0637909118289,0.0606461087934,0.0270362877014,0.00185476409518,0.0298379698544,0.0115911551523
10,0.945600128174,0.15019993782,-0.038890578354,0.0567535754445,30,0.001,"{'variant__alpha': 0.001, 'filter__n': 30}",11,-0.0124881432662,0.0519084594933,0.00625985888279,0.0383885892857,-0.0603385781468,0.0738046032686,-0.064115877068,0.0590201029159,-0.0638531786971,0.0606461222593,0.0354208802148,0.0014696716817,0.0298479644013,0.0115911559608
11,0.940399980545,0.133799982071,-0.0388934572081,0.0567535755445,30,0.0001,"{'variant__alpha': 0.0001, 'filter__n': 30}",12,-0.0124901677492,0.0519084595944,0.00625844017415,0.0383885893657,-0.0603405910507,0.0738046033692,-0.0641185851442,0.0590201029993,-0.0638594114827,0.0606461223941,0.0605791502322,0.0219399112919,0.029848964856,0.0115911559689
12,0.954799938202,0.151600074768,-0.052466320319,0.0779812982961,60,0.1,"{'variant__alpha': 0.1, 'filter__n': 60}",13,-0.0159743085359,0.0690172728484,0.0183499016354,0.0616502256631,-0.0737882617101,0.0915918187967,-0.0886561116625,0.0837081733145,-0.102377576076,0.0839390008576,0.0516387265173,0.00101981415523,0.0460425565654,0.0109598838603
13,0.986599969864,0.142199993134,-0.0530377238436,0.0779853844404,60,0.01,"{'variant__alpha': 0.01, 'filter__n': 60}",14,-0.0164436775422,0.0690196139634,0.0178978876,0.061654134181,-0.0741565885189,0.0915973614951,-0.0890138820151,0.0837119798932,-0.103587434359,0.0839438326696,0.0231913696549,0.0181262435341,0.0461823623511,0.0109606358885
