,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_BN__n_iter,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,5.63899998665,0.0677999973297,0.604,0.604000153761,100,1,"{'filter__n': 1, 'BN__n_iter': 100}",1,0.602739726027,0.604316546763,0.602996254682,0.60425132854,0.60375,0.6040625,0.605263157895,0.603685196752,0.605263157895,0.603685196752,0.0666693239135,0.00312411154403,0.0010815422798,0.000270361309977
1,5.60579996109,0.145800018311,0.27275,0.279377759081,100,10,"{'filter__n': 10, 'BN__n_iter': 100}",4,0.347447073474,0.368470441038,0.284644194757,0.275398562051,0.075,0.0846875,0.295739348371,0.305121798876,0.360902255639,0.363210493442,0.116248686236,0.0136734022252,0.10307848435,0.103487506399
2,5.97539997101,0.302400016785,0.00325,0.00324918093247,100,30,"{'filter__n': 30, 'BN__n_iter': 100}",16,0.00249066002491,0.00218955270566,0.00124843945069,0.00156298843389,0.00125,0.001875,0.00125313283208,0.00281074328545,0.0100250626566,0.00780762023735,0.0562728775581,0.0160074938202,0.00341626234303,0.00231629129529
3,6.93619999886,0.530999994278,0.0035,0.00349873171956,100,60,"{'filter__n': 60, 'BN__n_iter': 100}",10,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00125,0.001875,0.0062656641604,0.00843222985634,0.00501253132832,0.00437226733292,0.103544017317,0.0144913760882,0.00200529646674,0.00270324232766
4,7.77960004807,0.654399967194,0.0045,0.00381138787197,100,80,"{'filter__n': 80, 'BN__n_iter': 100}",7,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00375,0.0046875,0.00501253132832,0.00624609618988,0.00877192982456,0.0053091817614,0.200815970124,0.0176929622604,0.0024576433655,0.00202725252216
5,8.61339993477,0.796200037003,0.00275,0.0025624419007,100,100,"{'filter__n': 100, 'BN__n_iter': 100}",19,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00625,0.006875,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.0888697510156,0.012905774325,0.00199766583961,0.00215963718649
6,10.0563999653,0.943400001526,0.00125,0.00143738325196,100,120,"{'filter__n': 120, 'BN__n_iter': 100}",22,0.00124533001245,0.000938379730998,0.00124843945069,0.00156298843389,0.00125,0.0015625,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.311077881777,0.0273100621893,2.9634144303e-06,0.000249502405006
7,11.7883999825,1.08480005264,0.0035,0.00368775449838,100,150,"{'filter__n': 150, 'BN__n_iter': 100}",10,0.00249066002491,0.00125117297466,0.00499375780275,0.00656455142232,0.0075,0.0075,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.13740389726,0.0189356705049,0.0024219112765,0.00274910231489
8,5.54219999313,0.0603999614716,0.604,0.604000153761,200,1,"{'filter__n': 1, 'BN__n_iter': 200}",1,0.602739726027,0.604316546763,0.602996254682,0.60425132854,0.60375,0.6040625,0.605263157895,0.603685196752,0.605263157895,0.603685196752,0.110314820386,0.00101980480218,0.0010815422798,0.000270361309977
9,5.93840003014,0.138199949265,0.27275,0.279377759081,200,10,"{'filter__n': 10, 'BN__n_iter': 200}",4,0.347447073474,0.368470441038,0.284644194757,0.275398562051,0.075,0.0846875,0.295739348371,0.305121798876,0.360902255639,0.363210493442,0.170662894589,0.011821915613,0.10307848435,0.103487506399
10,6.35939998627,0.303999948502,0.00325,0.00324918093247,200,30,"{'filter__n': 30, 'BN__n_iter': 200}",16,0.00249066002491,0.00218955270566,0.00124843945069,0.00156298843389,0.00125,0.001875,0.00125313283208,0.00281074328545,0.0100250626566,0.00780762023735,0.0516705087337,0.0156333908627,0.00341626234303,0.00231629129529
11,7.62999997139,0.526999998093,0.0035,0.00349873171956,200,60,"{'filter__n': 60, 'BN__n_iter': 200}",10,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00125,0.001875,0.0062656641604,0.00843222985634,0.00501253132832,0.00437226733292,0.188848123286,0.0194627978001,0.00200529646674,0.00270324232766
12,8.85259995461,0.675800037384,0.0045,0.00381138787197,200,80,"{'filter__n': 80, 'BN__n_iter': 200}",7,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00375,0.0046875,0.00501253132832,0.00624609618988,0.00877192982456,0.0053091817614,0.267559017488,0.0343010234914,0.0024576433655,0.00202725252216
13,9.74660000801,0.803399991989,0.00275,0.0025624419007,200,100,"{'filter__n': 100, 'BN__n_iter': 200}",19,0.00373599003736,0.00125117297466,0.00124843945069,0.00156298843389,0.00625,0.006875,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.283738379009,0.0317527622277,0.00199766583961,0.00215963718649
14,10.9303999424,0.92640004158,0.00125,0.00143738325196,200,120,"{'filter__n': 120, 'BN__n_iter': 200}",22,0.00124533001245,0.000938379730998,0.00124843945069,0.00156298843389,0.00125,0.0015625,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.304210207291,0.0121425081686,2.9634144303e-06,0.000249502405006
15,13.8975999832,1.1732000351,0.0035,0.00368775449838,200,150,"{'filter__n': 150, 'BN__n_iter': 200}",10,0.00249066002491,0.00125117297466,0.00499375780275,0.00656455142232,0.0075,0.0075,0.00125313283208,0.00156152404747,0.00125313283208,0.00156152404747,0.418129438767,0.0875886812475,0.0024219112765,0.00274910231489
